919, 928, 906, 665|0.0032854522578418255, 0.003850095672532916, 0.12431255728006363|0.05538497865200043, -1.2350332736968994, 17.191606521606445
919, 949, 906, 665|0.003194255055859685, 0.003742838278412819, 0.12770803272724152|0.2389836609363556, -1.0926064252853394, 18.62287712097168
919, 949, 906, 665|0.009950694628059864, 0.005653065163642168, 0.12775690853595734|0.2298634648323059, -1.2252933979034424, 20.050451278686523
954, 949, 906, 670|0.013174181804060936, 0.00598903326317668, 0.13116726279258728|0.07213009893894196, -0.9533747434616089, 21.52052879333496
954, 977, 926, 670|0.015428513288497925, 0.007233891636133194, 0.13668973743915558|-0.1269824057817459, -0.599656879901886, 22.977169036865234
954, 977, 926, 670|0.018976984545588493, 0.007301720324903727, 0.1404111683368683|-0.17072805762290955, -0.3975955843925476, 24.414020538330078
954, 977, 926, 681|0.021862603724002838, 0.007658097427338362, 0.1400790959596634|-0.21068626642227173, -0.31166723370552063, 25.85261344909668
991, 1015, 959, 681|0.02475695312023163, 0.008959703147411346, 0.14308997988700867|-0.32200515270233154, -0.22152523696422577, 27.34451675415039
991, 1015, 959, 681|0.02494705282151699, 0.008427567780017853, 0.13999208807945251|-0.3934094309806824, -0.005894719623029232, 28.79388427734375
991, 1015, 959, 681|0.031108148396015167, 0.010221466422080994, 0.14111827313899994|-0.4917343258857727, -0.009044326841831207, 30.2219181060791
1048, 1015, 998, 696|0.0320763923227787, 0.010863777250051498, 0.14250557124614716|-0.6607033014297485, 0.18723633885383606, 31.633216857910156
1048, 1061, 998, 696|0.03343909978866577, 0.011403568089008331, 0.14337073266506195|-0.8078641295433044, 0.377082496881485, 33.04910659790039
1048, 1061, 998, 696|0.038095973432064056, 0.01314211543649435, 0.145716592669487|-0.8096389174461365, 0.2763909697532654, 34.43488693237305
1112, 1061, 998, 718|0.038977477699518204, 0.012872204184532166, 0.1481674611568451|-0.7571637034416199, 0.2567921578884125, 35.831573486328125
1112, 1060, 1050, 718|0.041650958359241486, 0.014296290464699268, 0.15042388439178467|-0.7104886770248413, 0.2396804243326187, 37.235801696777344
1112, 1060, 1050, 718|0.043921999633312225, 0.014621570706367493, 0.15318331122398376|-0.6649520397186279, 0.28457021713256836, 38.6442985534668
1112, 1060, 1050, 748|0.04591689258813858, 0.01556037925183773, 0.1565011590719223|-0.6984913945198059, 0.21636788547039032, 40.05353927612305
1193, 992, 1117, 748|0.04902925714850426, 0.017774440348148346, 0.15953144431114197|-0.7956268191337585, 0.12171060591936111, 41.46150207519531
1193, 992, 1117, 748|0.05027792975306511, 0.018287476152181625, 0.16282711923122406|-0.8334602117538452, 0.10868122428655624, 42.85448455810547
1193, 992, 1117, 748|0.05069011077284813, 0.019245442003011703, 0.1673220843076706|-0.7499135732650757, 0.06763163954019547, 44.2631721496582
1254, 992, 1194, 790|0.0516478605568409, 0.0196905005723238, 0.1706412136554718|-0.6064592003822327, 0.0008288414683192968, 45.65776824951172
1254, 870, 1194, 790|0.05366775020956993, 0.022889241576194763, 0.17393644154071808|-0.5351887941360474, -0.09215717017650604, 47.07054901123047
1254, 870, 1194, 790|0.05527843162417412, 0.02510044537484646, 0.17633028328418732|-0.47458410263061523, -0.17010432481765747, 48.51549530029297
1273, 870, 1194, 859|0.05502118542790413, 0.026278875768184662, 0.17925460636615753|-0.4250851273536682, -0.252972811460495, 49.918182373046875
1273, 789, 1223, 859|0.05521766096353531, 0.027186589315533638, 0.18457818031311035|-0.37056025862693787, -0.25372543931007385, 51.32539367675781
1273, 789, 1223, 859|0.0561455562710762, 0.028645295649766922, 0.18765300512313843|-0.2943940758705139, -0.19579823315143585, 52.743892669677734
1273, 789, 1223, 941|0.0553605817258358, 0.027177946642041206, 0.1934155374765396|-0.15063996613025665, -0.1298859715461731, 54.178462982177734
